c FILE: synGraph_v21_d20_l1_br90-2.dat

l 1 1
q 1 2 3 4 5 6 7 8 9 10 11 12
w 13 14 15 16 17 18 19 20 21
b 1 6 7 8 9 10 11 12
r 13 14 15 16 17 18 19 20 21
d gmin gmax 10 1 18
p edge 21 48
e 1 13
e 1 16
e 2 6
e 2 10
e 2 13
e 2 14
e 2 15
e 3 6
e 3 7
e 3 13
e 3 14
e 3 15
e 4 7
e 4 8
e 4 13
e 4 14
e 4 15
e 5 8
e 5 9
e 5 13
e 5 14
e 5 15
e 6 11
e 6 12
e 7 11
e 7 12
e 8 11
e 8 12
e 9 12
e 10 11
e 13 14
e 13 15
e 16 17
e 16 18
e 16 19
e 16 20
e 16 21
e 17 18
e 17 19
e 17 20
e 17 21
e 18 19
e 18 20
e 18 21
e 19 20
e 19 21
e 20 21
