c FILE: syntheticDim2_v104_d7_l1_br80-10.dat

l 1 1
q 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52
w 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104
b 1 2 3 4 5 6 7 8 9 11 12 13 14 17 19 22 24 25 27 28 29 30 31 32 33 34 35 36 38 40 41 43 45 46 47 48 49 50 51 52
r 53 54 55 56 57 58 59 60 62 63 64 65 66 67 69 70 71 72 73 75 76 77 78 79 80 81 82 83 84 85 86 87 89 90 91 92 95 96 97 98 99 101 102 103
d gmin gmax 17 1 9
p edge 104 384
e 1 3
e 1 6
e 1 7
e 1 16
e 1 19
e 1 21
e 1 46
e 1 47
e 1 49
e 2 11
e 2 12
e 2 25
e 2 26
e 2 38
e 2 45
e 2 76
e 2 81
e 2 103
e 3 6
e 3 7
e 3 16
e 3 19
e 3 21
e 3 34
e 3 46
e 3 47
e 4 10
e 4 11
e 4 12
e 4 15
e 4 32
e 4 44
e 4 50
e 5 14
e 5 23
e 5 27
e 5 30
e 5 31
e 5 33
e 5 36
e 5 39
e 5 43
e 6 7
e 6 19
e 6 47
e 6 49
e 7 19
e 7 21
e 7 27
e 7 34
e 7 46
e 7 47
e 8 9
e 8 17
e 8 29
e 8 35
e 8 51
e 8 52
e 8 91
e 8 92
e 9 17
e 9 29
e 9 35
e 9 51
e 9 91
e 10 11
e 10 12
e 10 15
e 10 26
e 10 32
e 10 38
e 10 44
e 11 12
e 11 15
e 11 16
e 11 26
e 11 38
e 11 44
e 12 15
e 12 16
e 12 26
e 12 38
e 12 44
e 13 17
e 13 20
e 13 24
e 13 37
e 13 40
e 13 48
e 13 52
e 13 92
e 14 23
e 14 27
e 14 31
e 14 33
e 14 36
e 14 39
e 14 43
e 15 32
e 15 38
e 15 44
e 15 50
e 16 21
e 16 26
e 16 31
e 16 33
e 17 18
e 17 28
e 17 29
e 17 51
e 17 52
e 17 92
e 18 20
e 18 22
e 18 28
e 18 30
e 18 39
e 18 74
e 19 21
e 19 27
e 19 34
e 19 46
e 19 47
e 20 24
e 20 28
e 20 37
e 20 40
e 20 48
e 20 52
e 21 27
e 21 33
e 21 34
e 21 46
e 22 28
e 22 30
e 22 36
e 22 39
e 22 74
e 23 31
e 23 36
e 23 43
e 23 50
e 24 37
e 24 40
e 24 48
e 24 52
e 24 92
e 25 45
e 25 63
e 25 76
e 25 89
e 26 38
e 26 44
e 27 33
e 27 34
e 27 46
e 28 30
e 28 52
e 28 74
e 28 92
e 29 35
e 29 51
e 29 52
e 29 91
e 29 92
e 30 36
e 30 39
e 30 74
e 31 33
e 31 36
e 31 43
e 32 50
e 33 34
e 33 46
e 34 46
e 34 47
e 35 51
e 35 74
e 36 39
e 36 43
e 36 50
e 37 40
e 37 48
e 37 52
e 37 92
e 38 44
e 38 45
e 39 43
e 39 74
e 40 48
e 41 57
e 41 60
e 41 63
e 41 68
e 41 80
e 41 89
e 41 97
e 41 98
e 41 102
e 42 61
e 42 77
e 42 78
e 42 83
e 42 86
e 42 95
e 42 99
e 43 50
e 45 76
e 45 81
e 45 82
e 45 89
e 45 103
e 46 47
e 47 49
e 49 53
e 49 79
e 49 81
e 49 103
e 51 91
e 51 92
e 51 96
e 52 92
e 53 79
e 53 81
e 53 103
e 53 104
e 54 58
e 54 65
e 54 66
e 54 67
e 54 69
e 54 70
e 54 75
e 54 93
e 55 56
e 55 58
e 55 64
e 55 67
e 55 73
e 55 83
e 55 84
e 55 87
e 56 64
e 56 73
e 56 83
e 56 84
e 56 86
e 56 87
e 57 60
e 57 68
e 57 78
e 57 80
e 57 95
e 57 97
e 57 98
e 57 102
e 58 64
e 58 67
e 58 69
e 58 75
e 58 93
e 59 62
e 59 71
e 59 72
e 59 77
e 59 85
e 59 88
e 59 94
e 59 101
e 60 63
e 60 68
e 60 76
e 60 80
e 60 89
e 60 97
e 60 102
e 61 78
e 61 95
e 61 99
e 62 72
e 62 85
e 62 88
e 62 94
e 62 101
e 63 68
e 63 76
e 63 97
e 63 102
e 64 67
e 64 69
e 64 83
e 64 93
e 65 66
e 65 67
e 65 69
e 65 70
e 65 71
e 65 75
e 65 93
e 65 101
e 66 67
e 66 69
e 66 70
e 66 71
e 66 75
e 66 93
e 66 101
e 67 69
e 67 75
e 67 93
e 68 80
e 68 97
e 68 98
e 68 102
e 69 70
e 69 75
e 69 93
e 70 71
e 70 75
e 70 88
e 70 93
e 70 101
e 71 75
e 71 77
e 71 88
e 71 94
e 71 101
e 72 85
e 72 88
e 72 94
e 73 82
e 73 83
e 73 84
e 73 86
e 73 87
e 73 89
e 75 93
e 76 82
e 76 89
e 76 97
e 77 88
e 77 99
e 77 101
e 78 80
e 78 95
e 78 98
e 78 99
e 79 81
e 79 103
e 79 104
e 80 95
e 80 97
e 80 98
e 80 102
e 81 82
e 81 103
e 81 104
e 82 84
e 82 87
e 82 89
e 82 103
e 82 104
e 83 84
e 83 86
e 83 87
e 84 86
e 84 87
e 84 104
e 85 88
e 85 94
e 87 104
e 88 94
e 88 101
e 89 102
e 90 96
e 91 96
e 91 100
e 94 101
e 95 98
e 95 99
e 97 98
e 97 102
e 98 102
e 103 104
